"id","iot_tbl","iot_fld","storage_type","src_disconn","samp_freq_mismatch","samp_freq_diag_time","samp_freq_clr_time","conv_amp_factor","norm_val","auto_mon_max_val","auto_clr_max_val","max_val_thres","max_val_estab_time","max_val_clr_time","auto_mon_min_val","auto_clr_min_val","min_val_thres","min_val_estab_time","min_val_clr_time","auto_mon_rate_chg","auto_clr_rate_chg","rate_chg_thres","rate_chg_estab_time","rate_chg_clr_time","auto_mon_dead_zone","auto_clr_dead_zone","dead_zone_thres_z1","dead_zone_thres_v1","dead_zone_thres_v2","dead_zone_thres_v3","created_at","updated_at","site_id","conv_amp_factor_sign","norm_val_sign"
12,root.ln.`1521714652626283467`,"4303_18757",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
13,root.ln.`1521714652626283467`,"4303_18946",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
14,root.ln.`1521714652626283467`,"4303_19135",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
15,root.ln.`1521714652626283467`,"4303_19324",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
16,root.ln.`1521714652626283467`,"4303_19513",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
17,root.ln.`1521714652626283467`,"4303_19702",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
18,root.ln.`1521714652626283467`,"4303_19891",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
19,root.ln.`1521714652626283467`,"4303_20080",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
20,root.ln.`1521714652626283467`,"4303_20269",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
21,root.ln.`1521714652626283467`,"4303_20458",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
22,root.ln.`1521714652626283467`,"4303_20647",float,true,true,"30.0","45.0",,1.0,true,true,150.0,"45.0","45.0",true,true,-25.0,"30.0","30.0",true,true,10.0,"30.0","45.0",true,true,30.0,0.01,0.01,0.01,,,"1521714652626283467",false,true
